State,District,Latitude,Longitude,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,sex_ratio,literacy_rate,male_literacy,female_literacy
Tripura,North Tripura,24.121739755351683,92.17842538226292,693947,352860,341087,507967,105737,44062,151,34717,307,70,150437,42184,967.0,75.0,78.0,72.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,876001,447544,428457,736015,49258,39258,245,49420,106,808,219171,44906,957.0,74.0,78.0,69.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,1725739,879428,846311,1512801,152791,53622,499,2128,362,430,289621,217016,962.0,79.0,82.0,75.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,4418797,2364953,2053844,3922718,411313,10076,12057,4049,21508,384,496971,406852,868.0,61.0,68.0,52.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,3673889,1951996,1721893,2904140,729283,7635,5875,2582,2805,91,582117,275942,882.0,57.0,66.0,47.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,5954391,3131807,2822584,5102041,796756,13782,4377,4391,2247,305,983266,265304,901.0,62.0,70.0,52.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2397888,1212410,1185478,1985654,401678,2536,869,1817,235,33,501559,65031,978.0,62.0,70.0,54.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,1379545,740040,639505,1273546,101963,1004,371,332,228,444,255836,58438,864.0,67.0,74.0,60.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,4613913,2285004,2328909,3878626,718692,3810,719,5652,183,226,891024,80434,1019.0,60.0,68.0,52.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,1303048,700070,602978,917474,364583,1840,483,161,16139,25,246055,69991,861.0,61.0,70.0,51.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,3487731,1843884,1643847,2291892,1169330,6400,8212,2793,1177,38,698520,61742,892.0,40.0,48.0,32.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,3239774,1672902,1566872,3004240,213440,4463,892,1595,233,64,564927,64454,937.0,61.0,69.0,51.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,2148665,1114721,1033944,1333242,805975,3228,900,1866,198,87,410070,35768,928.0,40.0,49.0,31.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,1799410,965876,833534,1637549,157612,1367,231,168,916,50,378056,67569,863.0,56.0,65.0,45.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,3260699,1707073,1553626,2505444,737106,4857,2090,1553,3016,211,635840,79068,910.0,52.0,59.0,44.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,4448359,2357665,2090694,2830768,1536534,14822,28187,4371,931,339,631613,362798,887.0,49.0,57.0,41.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,2464464,1255272,1209192,2082976,364510,3493,900,9753,107,99,513960,31065,963.0,57.0,65.0,47.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,3682713,1921215,1761498,2032081,1585210,6184,50624,1736,2134,41,683875,224648,917.0,58.0,65.0,51.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,3499171,1845260,1653911,2707195,777407,4088,2765,669,1572,86,658449,221628,896.0,58.0,68.0,47.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,1952756,1017905,934851,1727869,215081,2153,1389,340,100,1175,344937,50822,918.0,60.0,69.0,51.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,991730,527721,464009,955372,34559,693,63,101,285,27,207237,23558,879.0,54.0,63.0,43.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,3100946,1537436,1563510,2730957,358539,3626,818,1182,209,146,597778,67928,1017.0,60.0,70.0,51.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,1774480,947339,827141,1611126,146346,2464,708,2887,5671,18,334246,67752,873.0,59.0,68.0,49.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,1581810,845856,735954,1457892,113961,1362,1045,1733,3917,94,265643,85483,870.0,67.0,74.0,60.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,2470996,1259628,1211368,2094271,365806,3225,1912,737,358,185,510378,79288,962.0,59.0,67.0,51.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,1885204,1006240,878964,1596278,276846,3137,3160,3161,487,100,316647,94843,874.0,58.0,65.0,50.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,2632733,1384722,1248011,2274674,350700,2201,402,172,199,47,558807,77733,901.0,57.0,66.0,48.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,2498156,1332046,1166110,2140745,314812,3370,1804,3395,19077,61,349747,185621,875.0,61.0,68.0,52.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,1648115,890214,757901,1394025,215500,7366,9261,895,4518,91,170835,338935,851.0,68.0,75.0,60.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,4681645,2488834,2192811,3414427,1186776,19026,23001,3487,16412,265,355407,836316,881.0,67.0,73.0,60.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,3620268,1855075,1765193,3233790,368153,4181,810,3145,213,184,700173,61467,952.0,61.0,70.0,51.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,3433919,1787146,1646773,2739076,678615,4735,1893,649,338,57,673578,52794,921.0,49.0,58.0,39.0
